Gene_ID,Pathway_category,Ref,Scenario,Detailed_questions
JUNB,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
KLF4,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
PTGS2,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
ZFP36,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
JUN,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
ATF3,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
FOS,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
DUSP1,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
PNRC1,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
FOSB,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
MCL1,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
BCL2A1,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
GADD45B,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
NFKBIA,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
ZC3H12A,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
TNFAIP3,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
EIF1,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
KLF6,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
SAT1,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
CCNL1,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
RHOB,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
CXCL2,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
SOCS3,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
PPP1R15A,TNFa,https://pubmed.ncbi.nlm.nih.gov/26771021/,Aged hematopoiesis,High in Aged HSC and progenitors. Question: Does KO reverse aging phenotype in any way (e.g. lymphoid differentiation is decreased and myeloid/ery-meg differentiation is relatively increased in aged BM. Does this get reversed/rejuvenated?)
SERPINH1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
HSPD1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
SCD,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
HSPA4,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
CDC25A,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
HSPE1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
STIP1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
GGA2,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
CACYBP,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
HK2,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PSMB5,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
CCT6A,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
ELOVL6,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
HMGCS1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
MTHFD2,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
ACSL3,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
ADIPOR2,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
NUP205,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
MCM4,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
IMMT,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PDK1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
BCAT1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
HMGCR,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
RRM2,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PITPNB,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
P4HA1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
DHCR24,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
FADS2,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
UCHL5,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
SQLE,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
SLC2A3,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
GMPS,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
POLR3G,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PSMD12,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
NFYC,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
SC5D,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PNO1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
FADS1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
ACTR2,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
AURKA,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
GSR,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
TPI1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
EEF1E1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
ACTR3,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
RRP9,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
LDLR,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
GTF2H1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
CTSC,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
FDXR,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
IDH1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
DHFR,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PLK1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PSMC4,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
CYP51A1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
TUBG1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PSMA3,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
TXNRD1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
BUB1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
GOT1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
SLC7A5,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
SLC1A5,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
TBK1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PSME3,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
ABCF2,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
ATP2A2,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
ACACA,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
CANX,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
AK4,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
IDI1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
LDHA,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
SLC2A1,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
TFRC,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
